RegionName,StateName,Date,Avg_Price
Los Angeles-Long Beach-Anaheim,CA,1996-01-31,191141
Miami-Fort Lauderdale,FL,1996-01-31,124246
San Francisco,CA,1996-01-31,259705
Riverside,CA,1996-01-31,123932
San Diego,CA,1996-01-31,190603
Tampa,FL,1996-01-31,91966
Sacramento,CA,1996-01-31,150238
Orlando,FL,1996-01-31,110403
San Jose,CA,1996-01-31,260396
Jacksonville,FL,1996-01-31,99885
Fresno,CA,1996-01-31,108356
Bakersfield,CA,1996-01-31,117988
Ventura,CA,1996-01-31,209466
North Port-Sarasota-Bradenton,FL,1996-01-31,120383
Stockton,CA,1996-01-31,116634
Fort Myers,FL,1996-01-31,119393
Lakeland,FL,1996-01-31,87619
Daytona Beach,FL,1996-01-31,92169
Melbourne,FL,1996-01-31,97702
Santa Rosa,CA,1996-01-31,214047
Pensacola,FL,1996-01-31,88706
Visalia,CA,1996-01-31,95378
Port St. Lucie,FL,1996-01-31,103531
Santa Maria-Santa Barbara,CA,1996-01-31,222403
Salinas,CA,1996-01-31,179213
Vallejo,CA,1996-01-31,138905
Tallahassee,FL,1996-01-31,91107
Naples,FL,1996-01-31,160102
San Luis Obispo,CA,1996-01-31,184912
Gainesville,FL,1996-01-31,93072
Santa Cruz,CA,1996-01-31,243122
Crestview-Fort Walton Beach-Destin,FL,1996-01-31,99844
Panama City,FL,1996-01-31,91148
Redding,CA,1996-01-31,89191
Punta Gorda,FL,1996-01-31,89214
Homosassa Springs,FL,1996-01-31,82864
Vero Beach,FL,1996-01-31,102512
Napa,CA,1996-01-31,177840
The Villages,FL,1996-01-31,106170
Lake City,FL,1996-01-31,45672
Okeechobee,FL,1996-01-31,69526
Clewiston,FL,1996-01-31,56499
Arcadia,FL,1996-01-31,57251
Wauchula,FL,1996-01-31,45215
Los Angeles-Long Beach-Anaheim,CA,1996-02-29,191440
Miami-Fort Lauderdale,FL,1996-02-29,124418
San Francisco,CA,1996-02-29,258850
Riverside,CA,1996-02-29,123436
San Diego,CA,1996-02-29,190273
Tampa,FL,1996-02-29,91996
Sacramento,CA,1996-02-29,149698
Orlando,FL,1996-02-29,110483
San Jose,CA,1996-02-29,259734
Jacksonville,FL,1996-02-29,100029
Fresno,CA,1996-02-29,108135
Bakersfield,CA,1996-02-29,117533
Ventura,CA,1996-02-29,208761
North Port-Sarasota-Bradenton,FL,1996-02-29,120465
Stockton,CA,1996-02-29,116205
Fort Myers,FL,1996-02-29,119432
Lakeland,FL,1996-02-29,87954
Daytona Beach,FL,1996-02-29,92278
Melbourne,FL,1996-02-29,97723
Santa Rosa,CA,1996-02-29,213644
Pensacola,FL,1996-02-29,88986
Visalia,CA,1996-02-29,95148
Port St. Lucie,FL,1996-02-29,103387
Santa Maria-Santa Barbara,CA,1996-02-29,221662
Salinas,CA,1996-02-29,178587
Vallejo,CA,1996-02-29,138257
Tallahassee,FL,1996-02-29,91257
Naples,FL,1996-02-29,160248
San Luis Obispo,CA,1996-02-29,184103
Gainesville,FL,1996-02-29,93283
Santa Cruz,CA,1996-02-29,241842
Crestview-Fort Walton Beach-Destin,FL,1996-02-29,100038
Panama City,FL,1996-02-29,91509
Redding,CA,1996-02-29,88668
Punta Gorda,FL,1996-02-29,89315
Homosassa Springs,FL,1996-02-29,82814
