Province_State,County,Combined_Key,01/31/2020,02/28/2020,03/31/2020,04/30/2020,05/31/2020,06/30/2020,07/31/2020,08/31/2020,09/30/2020,10/31/2020
Florida,Alachua,"Alachua, Florida, US",0,632,5725,16631,0,55175,66056,62741,87152,63745
Florida,Baker,"Baker, Florida, US",0,58,492,1338,0,5148,22632,11606,10881,5965
Florida,Bay,"Bay, Florida, US",0,36,1315,3967,184,49181,91073,26509,27483,30492
Florida,Bradford,"Bradford, Florida, US",0,12,889,2425,0,3551,11756,11624,8196,2677
Florida,Brevard,"Brevard, Florida, US",0,200,5108,16403,1755,94500,82016,44407,75290,90483
Florida,Broward,"Broward, Florida, US",0,6920,100607,299115,0,797875,927452,216942,264444,377537
Florida,Calhoun,"Calhoun, Florida, US",0,1,147,1268,620,3655,9097,3175,2733,3286
Florida,Charlotte,"Charlotte, Florida, US",0,104,3781,15136,0,23786,32579,13685,16893,27020
Florida,Citrus,"Citrus, Florida, US",0,143,2145,5712,0,17313,31084,21449,18489,25653
Florida,Clay,"Clay, Florida, US",0,239,5417,15673,0,41116,51614,31699,36497,35129
Florida,Collier,"Collier, Florida, US",0,870,11881,43300,26582,134818,116554,34681,51561,63215
Florida,Columbia,"Columbia, Florida, US",0,28,940,4435,677,29373,57805,14154,18724,9469
Florida,DeSoto,"DeSoto,Florida,US",0,43,608,3099,7862,18499,13244,2768,4116,8542
Florida,Dixie,"Dixie, Florida, US",0,0,88,864,858,2913,12424,6812,2806,1332
Florida,Duval,"Duval, Florida, US",0,1054,21709,62463,0,370793,301711,107883,153209,154769
Florida,Escambia,"Escambia, Florida, US",0,278,8557,30131,0,119765,155296,47069,44396,54704
Florida,Flagler,"Flagler, Florida, US",0,88,1992,7014,0,11542,17113,11682,13132,12756
Florida,Franklin,"Franklin, Florida, US",0,0,54,116,0,1541,11433,4532,4064,2610
Florida,Gadsden,"Gadsden, Florida, US",0,13,1243,7195,1021,14776,37369,17254,13846,2095
Florida,Gilchrist,"Gilchrist, Florida, US",0,0,94,346,1123,4670,6095,2440,2455,3189
Florida,Glades,"Glades, Florida, US",0,6,140,563,2732,4538,5110,1615,3297,1183
Florida,Gulf,"Gulf, Florida, US",0,0,30,61,218,4130,16709,4605,2581,2102
Florida,Hamilton,"Hamilton, Florida, US",0,0,87,3493,4891,6101,5249,3695,3965,811
Florida,Hardee,"Hardee, Florida, US",0,0,155,1765,5133,13103,10717,6466,9176,4311
Florida,Hendry,"Hendry, Florida, US",0,8,1021,7706,11532,20159,16705,3693,5673,4479
Florida,Hernando,"Hernando, Florida, US",0,128,2091,5461,0,26319,36622,19539,18665,23449
Florida,Highlands,"Highlands, Florida, US",0,71,1737,5015,0,15602,26744,11981,14468,22168
Florida,Hillsborough,"Hillsborough, Florida, US",0,1765,24408,76701,43997,508428,396719,145250,202151,198365
Florida,Holmes,"Holmes, Florida, US",0,1,144,532,1259,6815,7918,4649,4366,5636
Florida,Indian River,"Indian River, Florida, US",0,167,2229,5718,1224,35376,36318,9886,18657,24476
Florida,Jackson,"Jackson, Florida, US",0,15,238,4439,4937,15204,38034,16174,14120,13004
Florida,Jefferson,"Jefferson, Florida, US",0,0,495,1375,0,2435,10740,1821,3058,2599
Florida,Lafayette,"Lafayette, Florida, US",0,0,22,186,286,1485,20018,14675,2274,0
Florida,Lake,"Lake, Florida, US",0,300,5096,13340,0,74161,80007,40676,38380,38708
Florida,Lee,"Lee, Florida, US",0,945,20038,66084,9837,247428,190128,55493,87766,119433
Florida,Leon,"Leon, Florida, US",0,143,4140,13532,0,68505,81188,104951,85864,52557
Florida,Levy,"Levy, Florida, US",0,7,272,1033,2013,7027,13262,5793,4504,4272
Florida,Liberty,"Liberty, Florida, US",0,0,40,5283,1248,2421,3797,1566,1928,524
Florida,Madison,"Madison, Florida, US",0,0,675,2655,0,9179,11141,5648,3434,2627
Florida,Manatee,"Manatee, Florida, US",0,345,9541,36007,4032,130278,120051,30127,55224,64617
Florida,Marion,"Marion, Florida, US",0,116,3115,9992,0,57802,150404,57149,44470,35483
Florida,Martin,"Martin, Florida, US",0,147,3846,15367,18787,52436,32395,17128,19541,13903
Florida,Miami-Dade,"Miami-Dade, Florida, US",0,9119,236642,718703,0,1647724,2035451,544764,559719,646556
Florida,Monroe,"Monroe, Florida, US",0,137,1874,4961,0,18640,26176,4509,9510,22074
Florida,Nassau,"Nassau, Florida, US",0,57,1128,3209,0,16478,22352,16420,13348,11908
Florida,Okaloosa,"Okaloosa, Florida, US",0,272,3237,9061,0,39521,62896,25566,37411,54384
Florida,Okeechobee,"Okeechobee, Florida, US",0,0,178,1436,4529,12979,15366,7218,9816,5239
Florida,Orange,"Orange, Florida, US",0,1683,30965,83815,15720,505658,386514,125396,189912,220307
Florida,Osceola,"Osceola, Florida, US",0,622,10549,29878,0,132044,151320,42825,58429,70292
