State,County,Date,Covid_Cummulative_Numbers
California,Alameda,2020-01-31,0
California,Alpine,2020-01-31,0
California,Amador,2020-01-31,0
California,Butte,2020-01-31,0
California,Calaveras,2020-01-31,0
California,Colusa,2020-01-31,0
California,Contra Costa,2020-01-31,0
California,Del Norte,2020-01-31,0
California,El Dorado,2020-01-31,0
California,Fresno,2020-01-31,0
California,Glenn,2020-01-31,0
California,Humboldt,2020-01-31,0
California,Imperial,2020-01-31,0
California,Inyo,2020-01-31,0
California,Kern,2020-01-31,0
California,Kings,2020-01-31,0
California,Lake,2020-01-31,0
California,Lassen,2020-01-31,0
California,Los Angeles,2020-01-31,1
California,Madera,2020-01-31,0
California,Marin,2020-01-31,0
California,Mariposa,2020-01-31,0
California,Mendocino,2020-01-31,0
California,Merced,2020-01-31,0
California,Modoc,2020-01-31,0
California,Mono,2020-01-31,0
California,Monterey,2020-01-31,0
California,Napa,2020-01-31,0
California,Nevada,2020-01-31,0
California,Orange,2020-01-31,1
California,Out of CA,2020-01-31,0
California,Placer,2020-01-31,0
California,Plumas,2020-01-31,0
California,Riverside,2020-01-31,0
California,Sacramento,2020-01-31,0
California,San Benito,2020-01-31,0
California,San Bernardino,2020-01-31,0
California,San Diego,2020-01-31,0
California,San Francisco,2020-01-31,0
California,San Joaquin,2020-01-31,0
California,San Luis Obispo,2020-01-31,0
California,San Mateo,2020-01-31,0
California,Santa Barbara,2020-01-31,0
California,Santa Clara,2020-01-31,1
California,Santa Cruz,2020-01-31,0
California,Shasta,2020-01-31,0
California,Sierra,2020-01-31,0
California,Siskiyou,2020-01-31,0
California,Solano,2020-01-31,0
California,Sonoma,2020-01-31,0
California,Stanislaus,2020-01-31,0
California,Sutter,2020-01-31,0
California,Tehama,2020-01-31,0
California,Trinity,2020-01-31,0
California,Tulare,2020-01-31,0
California,Tuolumne,2020-01-31,0
California,Unassigned,2020-01-31,0
California,Ventura,2020-01-31,0
California,Yolo,2020-01-31,0
California,Yuba,2020-01-31,0
Florida,Alachua,2020-01-31,0
Florida,Baker,2020-01-31,0
Florida,Bay,2020-01-31,0
Florida,Bradford,2020-01-31,0
Florida,Brevard,2020-01-31,0
Florida,Broward,2020-01-31,0
Florida,Calhoun,2020-01-31,0
Florida,Charlotte,2020-01-31,0
Florida,Citrus,2020-01-31,0
Florida,Clay,2020-01-31,0
Florida,Collier,2020-01-31,0
Florida,Columbia,2020-01-31,0
Florida,DeSoto,2020-01-31,0
Florida,Dixie,2020-01-31,0
Florida,Duval,2020-01-31,0
Florida,Escambia,2020-01-31,0
Florida,Flagler,2020-01-31,0
Florida,Franklin,2020-01-31,0
Florida,Gadsden,2020-01-31,0
Florida,Gilchrist,2020-01-31,0
Florida,Glades,2020-01-31,0
Florida,Gulf,2020-01-31,0
Florida,Hamilton,2020-01-31,0
Florida,Hardee,2020-01-31,0
Florida,Hendry,2020-01-31,0
Florida,Hernando,2020-01-31,0
