region_id,region_type,region
99999,zip,98847; WA; Wenatchee; Chelan County; Peshastin
99998,zip,98846; WA; Okanogan County; Pateros
99997,zip,98845; WA; Wenatchee; Douglas County; Palisades
99996,zip,98844; WA; Okanogan County; Oroville
99995,zip,98843; WA; Wenatchee; Douglas County; Orondo
99994,zip,98841; WA; Okanogan County; Omak
99993,zip,98840; WA; Okanogan County; Okanogan
99992,zip,98837; WA; Moses Lake; Grant County
99991,zip,98836; WA; Wenatchee; Chelan County
99990,zip,98834; WA; Okanogan County; Methow
9999,city,Carrsville; VA; Virginia Beach-Norfolk-Newport News; Isle of Wight County
99989,zip,98833; WA; Okanogan County; Mazama
99988,zip,98832; WA; Moses Lake; Grant County; Krupp
99987,zip,98831; WA; Wenatchee; Chelan County; Manson
99986,zip,98830; WA; Wenatchee; Douglas County; Mansfield
99985,zip,98829; WA; Okanogan County; Okanogan
99984,zip,98828; WA; Wenatchee; Chelan County; Malaga
99983,zip,98827; WA; Okanogan County; Loomis
99982,zip,98826; WA; Wenatchee; Chelan County; Leavenworth
99980,zip,98823; WA; Moses Lake; Grant County; Ephrata
9998,city,Birchleaf; VA; Big Stone Gap; Dickenson County
99979,zip,98822; WA; Wenatchee; Chelan County; Entiat
99978,zip,98821; WA; Wenatchee; Chelan County; Cashmere
99977,zip,98819; WA; Okanogan County; Omak
99976,zip,98817; WA; Wenatchee; Chelan County; Chelan Falls
99975,zip,98816; WA; Wenatchee; Chelan County; Chelan
99974,zip,98815; WA; Wenatchee; Chelan County; Cashmere
99973,zip,98814; WA; Okanogan County; Carlton
99972,zip,98813; WA; Wenatchee; Douglas County; Bridgeport
99971,zip,98812; WA; Okanogan County; Brewster
99970,zip,98811; WA; Wenatchee; Chelan County; Entiat
99968,zip,98802; WA; Wenatchee; Douglas County; East Wenatchee Bench
99967,zip,98801; WA; Wenatchee; Chelan County
99965,zip,98686; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver
99964,zip,98685
99963,zip,98684; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver
99962,zip,98683
99961,zip,98682
99960,zip,98675; WA; Portland-Vancouver-Hillsboro; Clark County; Yacolt
99959,zip,98674; WA; Longview; Cowlitz County; Woodland
99958,zip,98673; WA; Klickitat County; Centerville
99957,zip,98672; WA; Klickitat County; White Salmon
99956,zip,98671
99955,zip,98670; WA; Klickitat County; Wahkiacus
99951,zip,98665; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver
99950,zip,98664
99949,zip,98663; WA; Portland-Vancouver-Hillsboro; Clark County; Vancouver
99948,zip,98662
99947,zip,98661
99946,zip,98660
