RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31
102001,0,United States,Country,"",1425322.0,1383102.0,1440330.0,1527160.0,1628568.0,1702049.0,1753171.0,1777883.0,1766944.0,1746919.0,1690357.0,1593718.0,1505823.0,1457443.0,1504108.0,1570488.0,1662555.0,1733447.0,1777410.0,1787095.0,1767670.0,1736898.0,1662658.0,1545781.0,1441202.0,1389643.0,1412438.0,1396358.0,1413202.0,1406513.0,1423990.0,1386004.0,1331526.0,1268153.0
394913,1,"New York, NY",Msa,NY,68126.0,67665.0,72156.0,78997.0,84989.0,89502.0,91648.0,91142.0,89889.0,89067.0,86803.0,81570.0,76321.0,74090.0,77737.0,83530.0,90312.0,94883.0,96434.0,94960.0,93296.0,91355.0,87912.0,80963.0,74641.0,72233.0,74308.0,71806.0,69870.0,69325.0,75236.0,78900.0,80018.0,78675.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20196.0,20014.0,21984.0,23925.0,25911.0,27514.0,29219.0,30292.0,30835.0,31049.0,30522.0,28734.0,27095.0,26257.0,27561.0,28835.0,30510.0,31440.0,32151.0,32012.0,31477.0,30501.0,28449.0,25206.0,22413.0,21343.0,21883.0,21554.0,21966.0,22935.0,24941.0,25829.0,26085.0,25849.0
394463,3,"Chicago, IL",Msa,IL,37649.0,36221.0,39409.0,43350.0,47224.0,49255.0,50906.0,51737.0,51559.0,50882.0,48488.0,44273.0,40157.0,38594.0,41220.0,45590.0,49881.0,52644.0,53816.0,54233.0,53960.0,53037.0,50182.0,45408.0,41251.0,40043.0,41614.0,41500.0,41826.0,42279.0,44447.0,44913.0,44048.0,42661.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24330.0,23255.0,24398.0,26804.0,29591.0,32009.0,33974.0,35148.0,35198.0,34334.0,33100.0,31137.0,29663.0,28983.0,30532.0,32493.0,34937.0,37355.0,39421.0,40477.0,39915.0,38791.0,37042.0,34629.0,32406.0,31480.0,32127.0,32200.0,33110.0,33587.0,34400.0,33161.0,31061.0,28712.0
394974,5,"Philadelphia, PA",Msa,PA,26330.0,24880.0,25862.0,28080.0,30320.0,31396.0,31094.0,30286.0,29655.0,29612.0,29111.0,27616.0,25965.0,24887.0,25950.0,27728.0,29718.0,30819.0,31308.0,30772.0,30026.0,29062.0,27854.0,25654.0,23364.0,22228.0,22288.0,21096.0,20738.0,20855.0,22194.0,22270.0,21553.0,20918.0
394692,6,"Houston, TX",Msa,TX,30530.0,29751.0,31246.0,33154.0,35771.0,37322.0,38529.0,38942.0,38271.0,37326.0,35890.0,34367.0,33425.0,33145.0,34613.0,36079.0,38015.0,40056.0,41746.0,42698.0,41917.0,40690.0,38955.0,37150.0,35917.0,35689.0,36633.0,36667.0,37220.0,36902.0,36769.0,35100.0,33254.0,31558.0
395209,7,"Washington, DC",Msa,DC,22361.0,21093.0,22698.0,26075.0,29022.0,29176.0,27921.0,26414.0,26055.0,25904.0,25035.0,22712.0,19917.0,18226.0,19366.0,21720.0,24514.0,25995.0,26275.0,25406.0,24716.0,24247.0,23185.0,20616.0,18238.0,17270.0,18457.0,18919.0,19510.0,19108.0,19400.0,19038.0,19001.0,18834.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,54091.0,55557.0,58297.0,59419.0,59801.0,58397.0,57117.0,56118.0,55600.0,56026.0,56585.0,56975.0,58224.0,59893.0,62398.0,62851.0,62522.0,61095.0,59686.0,58075.0,56634.0,56094.0,55773.0,55439.0,55650.0,56283.0,57095.0,55131.0,53889.0,53082.0,53383.0,52346.0,50946.0,49956.0
394347,9,"Atlanta, GA",Msa,GA,29838.0,28710.0,29831.0,31228.0,32862.0,34387.0,35884.0,36972.0,36769.0,36293.0,35193.0,33571.0,32268.0,33013.0,34697.0,36379.0,37368.0,39040.0,40425.0,41222.0,41158.0,40887.0,39568.0,37474.0,35759.0,35066.0,35992.0,36226.0,37369.0,37368.0,37129.0,35477.0,33414.0,31470.0
394404,10,"Boston, MA",Msa,MA,10662.0,9615.0,10201.0,11858.0,14194.0,16098.0,16986.0,16846.0,16963.0,17377.0,17123.0,15264.0,13203.0,12001.0,12786.0,14289.0,16597.0,18166.0,18545.0,17687.0,17277.0,17308.0,16678.0,14243.0,11709.0,10594.0,11237.0,11506.0,12349.0,13251.0,14478.0,14580.0,14296.0,13967.0
395057,11,"San Francisco, CA",Msa,CA,4546.0,4362.0,5338.0,6428.0,7463.0,8032.0,8317.0,8316.0,8606.0,9055.0,8938.0,7763.0,6500.0,6096.0,6891.0,7931.0,8937.0,9467.0,9632.0,9290.0,9294.0,9320.0,8820.0,7197.0,5650.0,5277.0,5819.0,6040.0,6581.0,7380.0,8677.0,9266.0,9640.0,9941.0
394532,12,"Detroit, MI",Msa,MI,15246.0,14069.0,14316.0,15268.0,16991.0,18610.0,20077.0,21333.0,21926.0,22098.0,21268.0,19757.0,18183.0,16939.0,16952.0,17494.0,19023.0,20697.0,22314.0,23507.0,24066.0,24067.0,22937.0,20970.0,18992.0,17708.0,17238.0,15739.0,16160.0,16812.0,18554.0,18481.0,17886.0,17098.0
395025,13,"Riverside, CA",Msa,CA,17566.0,17672.0,18644.0,19500.0,20318.0,20970.0,21634.0,21957.0,22035.0,22088.0,21946.0,21264.0,20709.0,20284.0,20860.0,21207.0,21612.0,21670.0,21665.0,21632.0,21340.0,21078.0,20339.0,19138.0,18070.0,17442.0,17389.0,16667.0,16397.0,15967.0,15640.0,14764.0,14024.0,13734.0
394976,14,"Phoenix, AZ",Msa,AZ,26209.0,26454.0,28105.0,29166.0,29587.0,28947.0,27679.0,26616.0,25846.0,26073.0,26292.0,26038.0,26434.0,27243.0,29368.0,30425.0,30882.0,30069.0,28462.0,26787.0,25348.0,24966.0,24403.0,23376.0,22599.0,22457.0,23597.0,23843.0,24091.0,23338.0,22539.0,21499.0,21128.0,21463.0
395078,15,"Seattle, WA",Msa,WA,7754.0,6805.0,7410.0,8453.0,10412.0,12075.0,13530.0,14297.0,14892.0,15127.0,14436.0,12526.0,10795.0,9523.0,10087.0,10921.0,12975.0,14502.0,15515.0,15335.0,14678.0,13797.0,12195.0,9838.0,7918.0,7138.0,7827.0,8455.0,9386.0,9941.0,10812.0,11354.0,11576.0,11286.0
394865,16,"Minneapolis-St Paul, MN",Msa,MN,10357.0,9577.0,10398.0,11817.0,13633.0,15178.0,16283.0,16799.0,16789.0,16515.0,15313.0,13300.0,11350.0,10240.0,10615.0,11817.0,13823.0,15831.0,17111.0,17543.0,17378.0,17071.0,15937.0,13886.0,11822.0,10887.0,11606.0,12404.0,13470.0,13918.0,14540.0,14569.0,14431.0,14062.0
395056,17,"San Diego, CA",Msa,CA,6665.0,6629.0,7377.0,8194.0,9027.0,9606.0,10189.0,10640.0,10894.0,10919.0,10651.0,9994.0,9443.0,9101.0,9463.0,9788.0,10292.0,10616.0,10891.0,10916.0,10625.0,10189.0,9369.0,8319.0,7487.0,7165.0,7425.0,7397.0,7627.0,7740.0,8064.0,7998.0,7827.0,7635.0
395121,18,"St. Louis, MO",Msa,MO,12955.0,12344.0,12821.0,13637.0,14638.0,15307.0,15782.0,16001.0,15832.0,15656.0,15016.0,13966.0,12674.0,11727.0,11949.0,12621.0,13618.0,14196.0,14490.0,14548.0,14496.0,14508.0,14140.0,13132.0,11955.0,11180.0,11360.0,11221.0,11268.0,10961.0,11067.0,10810.0,10569.0,10273.0
395148,19,"Tampa, FL",Msa,FL,18385.0,18664.0,19823.0,20575.0,21133.0,21111.0,20719.0,20425.0,20076.0,20125.0,20191.0,20065.0,20438.0,20919.0,21890.0,21773.0,21533.0,21270.0,21211.0,21003.0,20464.0,20203.0,19848.0,19158.0,18856.0,18856.0,19449.0,18958.0,18833.0,18127.0,17633.0,16508.0,15596.0,15110.0
394358,20,"Baltimore, MD",Msa,MD,12905.0,12229.0,12736.0,13931.0,15173.0,15574.0,15338.0,14918.0,14677.0,14547.0,14149.0,13323.0,12314.0,11563.0,12018.0,13038.0,14316.0,15070.0,15309.0,15114.0,14823.0,14587.0,14003.0,12784.0,11515.0,10826.0,10995.0,10824.0,10881.0,10586.0,10581.0,10167.0,9888.0,9665.0
394530,21,"Denver, CO",Msa,CO,7510.0,7091.0,7882.0,8922.0,10192.0,11344.0,12051.0,12458.0,12510.0,12509.0,11972.0,10667.0,9606.0,9067.0,9709.0,10578.0,11955.0,13102.0,13667.0,13643.0,13291.0,12881.0,11774.0,10086.0,8720.0,8082.0,8683.0,8955.0,10183.0,10861.0,11661.0,11319.0,10679.0,9977.0
