,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
0,9,California,1,392500.0,373800.0,351800.0,334700.0,320100.0,306600.0,293300.0,279600.0,265600.0,255900.0,244700.0,238900.0,230200.0,223800.0,219800.0,223500.0,232200.0,239700.0,245900.0,249900.0,255500.0,261500.0,265600.0,266300.0,263800.0,260900.0,263500.0,263100.0,266100.0,262200.0,264200.0,260400.0,259300.0,258100.0,256900.0,256800.0,252600.0,250800.0,246200.0,243800.0,242600.0,243000.0,244400.0,243400.0,244300.0,244300.0,247300.0,247700.0,249100.0,253200.0,257900.0,261800.0,267100.0,271200.0,279500.0,283700.0,292900.0,301700.0,307000.0,309000.0,311800.0,320000.0,330400.0,339400.0,349100.0,353800.0,356500.0,356500.0,359500.0,363900.0,366300.0,368600.0,367600.0,369500.0,372200.0,373100.0,375200.0,376700.0,380000.0,380900.0,381100.0,383100.0,385300.0,389600.0,391500.0,394600.0,394000.0,395700.0,396700.0,399300.0,399300.0,399100.0,401100.0,407800.0,414000.0,413400.0,410100.0,409000.0,412600.0,414300.0,415200.0,416500.0,419300.0,419700.0,420300.0,420700.0,423900.0,424000.0,427300.0,427300.0,431700.0,434700,437600,439000,441500,448900,458900,465100,469200,472300,476400,479200,480800,482300,483600,483200,482800,484700,486200,486500,485900,488400,489900,493200,492200,493000,491900,491600,493800,498400,505600,513500,518700,524400,
1,54,Texas,2,139900.0,139300.0,137600.0,137400.0,137700.0,139500.0,139600.0,139200.0,137100.0,135000.0,133800.0,134600.0,136200.0,137200.0,137600.0,139300.0,141100.0,142800.0,143200.0,143100.0,142200.0,140600.0,139900.0,139800.0,141000.0,141300.0,139900.0,139200.0,139400.0,142200.0,142900.0,143200.0,143000.0,144600.0,144600.0,144200.0,142300.0,140500.0,139500.0,139600.0,140800.0,142000.0,142700.0,143900.0,144000.0,144700.0,143700.0,143400.0,143900.0,146500.0,148800.0,151100.0,151900.0,152500.0,152200.0,152700.0,153600.0,154100.0,153700.0,152600.0,153400.0,157100.0,161000.0,163900.0,165000.0,165900.0,166300.0,166500.0,167000.0,167400.0,165700.0,166400.0,166900.0,169100.0,169300.0,170000.0,170700.0,172500.0,173600.0,174400.0,174600.0,175800.0,177300.0,177900.0,179000.0,179200.0,180800.0,181900.0,183300.0,184300.0,184300.0,184500.0,184300.0,185500.0,186900.0,187900.0,188300.0,188700.0,190400.0,191900.0,193500.0,194200.0,195600.0,197400.0,199300.0,200000.0,200500.0,201400.0,202200.0,203400.0,203800.0,205000,205100,205700,206500,207500,208600,208900,210200,212500,214100,215300,215300,215500,215300,214400,214800,215300,216700,217700,217800,219100,220500,223300,224700,226100,226700,228100,229400,232700,234700,236800,237200,239900,
2,43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235400.0,237800.0,244400.0,250100.0,252800.0,246700.0,244300.0,241300.0,236200.0,235600.0,232200.0,229200.0,222500.0,220900.0,220700.0,225200.0,225700.0,228800.0,234400.0,235900.0,235100.0,234500.0,233900.0,237000.0,235800.0,237600.0,237000.0,238200.0,236300.0,242200.0,244500.0,250100.0,253500.0,261100.0,267800.0,265900.0,262600.0,258400.0,259500.0,256300.0,253200.0,251800.0,249000.0,243800.0,241700.0,242100.0,247500.0,247500.0,250000.0,250800.0,254300.0,253300.0,252400.0,248200.0,249000.0,243700.0,247000.0,248700.0,255100.0,257200.0,256800.0,251500.0,246600.0,249400.0,255200.0,252100.0,252100.0,251500.0,258800.0,257000.0,257100.0,256100.0,254300.0,253300.0,256300.0,258800.0,263800.0,262500.0,264100,262600,263800,267300,270400,272100,267800,266300,268500,273300,280500,282000,283200,282800,282600,282400,282100,284400,288600,290200,289700,285700,287900,287500,297000,298100,301700,295100,296000,297100,305400,308800,324800,342500.0
3,14,Florida,4,203400.0,195500.0,189300.0,184800.0,181700.0,178100.0,172700.0,167100.0,161900.0,155600.0,149300.0,144100.0,138600.0,133500.0,128100.0,125600.0,126300.0,127200.0,128700.0,128400.0,129300.0,129300.0,128800.0,127600.0,125500.0,124400.0,122200.0,121000.0,118100.0,115700.0,113500.0,114000.0,115300.0,116500.0,113600.0,110200.0,107700.0,108400.0,110600.0,112400.0,114400.0,114600.0,114500.0,113600.0,114300.0,115800.0,117500.0,117800.0,118200.0,119900.0,121100.0,122500.0,121600.0,122300.0,122700.0,124600.0,126700.0,129900.0,132200.0,133300.0,133200.0,134800.0,136900.0,139700.0,141600.0,144200.0,144900.0,145200.0,145600.0,146800.0,147500.0,147200.0,146900.0,147300.0,147800.0,148500.0,149900.0,151300.0,153100.0,154500.0,156300.0,157500.0,158100.0,158500.0,160200.0,161700.0,164300.0,165200.0,166000.0,166300.0,167300.0,168800.0,169100.0,169900.0,172200.0,174600.0,176400.0,176800.0,177800.0,178800.0,179900.0,181300.0,182600.0,183800.0,184200.0,185000.0,186800.0,189600.0,191600.0,192300.0,192600.0,193400,195100,196600,197900,199000,200500,203000,206500,211800,215800,217700,215900,215100,214900,216500,217400,219300,221900,223600,224600,225800,225300,224400,223800,224600,226100,227000,228900,230800,234400,238100,243300,247600,
4,21,Illinois,5,204400.0,198400.0,185000.0,177500.0,174300.0,176300.0,176900.0,177400.0,173800.0,172400.0,166800.0,164500.0,159400.0,154800.0,149100.0,144700.0,145400.0,151000.0,155300.0,158600.0,156800.0,159500.0,161900.0,164700.0,160300.0,154600.0,149500.0,149500.0,148000.0,147300.0,143800.0,145100.0,145200.0,147200.0,147000.0,145900.0,141500.0,135600.0,130900.0,129800.0,131600.0,134500.0,135500.0,134700.0,131800.0,131500.0,130600.0,130400.0,130700.0,130500.0,131900.0,132400.0,133800.0,135000.0,134100.0,133500.0,132700.0,132400.0,132700.0,132700.0,132800.0,133100.0,135300.0,139400.0,143800.0,147400.0,150000.0,153600.0,154100.0,156000.0,154400.0,155300.0,152700.0,151900.0,152000.0,154700.0,157000.0,158500.0,160800.0,162700.0,162700.0,162700.0,161800.0,163500.0,162900.0,163900.0,163000.0,162700.0,162200.0,161500.0,161100.0,159700.0,156200.0,154800.0,153200.0,154900.0,155700.0,157400.0,159100.0,159600.0,159300.0,160000.0,159500.0,161400.0,161600.0,164600.0,165300.0,167200.0,169000.0,170100.0,170300.0,168400,166300,166500,166200,168700,170300,172600,175900,178800,183400,184600,183400,184900,185400,185200,182100,181200,183400,182500,184200,188500,195700,199000,198700,195900,192000,189500,188100,190000,191300,194600,195100,200200,210300.0
5,47,Pennsylvania,6,146400.0,144800.0,142500.0,138800.0,138800.0,140300.0,141300.0,139900.0,136900.0,134700.0,133800.0,134300.0,136500.0,137000.0,136400.0,135300.0,135100.0,136700.0,138700.0,140000.0,142000.0,143000.0,142100.0,141600.0,142300.0,143900.0,142800.0,139100.0,136500.0,134000.0,133100.0,133300.0,135700.0,137500.0,137900.0,137900.0,136900.0,134700.0,131700.0,130300.0,131000.0,131700.0,131300.0,131400.0,131500.0,133400.0,135400.0,137300.0,137400.0,137900.0,138200.0,138700.0,138300.0,138000.0,137700.0,137400.0,138500.0,140400.0,141600.0,141900.0,140900.0,141500.0,140600.0,140700.0,141600.0,142300.0,142800.0,141900.0,140900.0,140600.0,140100.0,141200.0,141500.0,140000.0,139000.0,138600.0,140000.0,141200.0,141700.0,141600.0,141600.0,142300.0,142800.0,142600.0,143600.0,143900.0,144400.0,143700.0,144700.0,145500.0,146100.0,146100.0,145200.0,144500.0,145200.0,146500.0,146800.0,147200.0,147500.0,149100.0,149200.0,148800.0,148500.0,149000.0,149700.0,150600.0,150700.0,151800.0,152900.0,153600.0,153800.0,154800,156000,156400,155500,156100,156600,157500,159000,159400,162900,161600,161900,159600,159400,158800,158500,158400,161100,161500,163400,165500,167600,169100,168200,168600,168700,168500,168800,169600,172100,173300,176500,180800,
6,44,Ohio,7,110700.0,108700.0,107800.0,107400.0,107600.0,107200.0,105500.0,102500.0,95800.0,89900.0,85900.0,85500.0,86800.0,88900.0,92000.0,95600.0,99300.0,102000.0,104500.0,106400.0,108400.0,107900.0,105100.0,103600.0,103600.0,104100.0,105700.0,105800.0,102300.0,97100.0,92800.0,93400.0,94400.0,98000.0,98000.0,94900.0,88700.0,86400.0,87600.0,92000.0,94800.0,95900.0,94300.0,93400.0,92400.0,93300.0,92100.0,91300.0,90900.0,93100.0,96600.0,99100.0,102700.0,104600.0,104800.0,103600.0,103100.0,103900.0,103900.0,101600.0,100500.0,99100.0,102900.0,106300.0,110500.0,111400.0,110600.0,108200.0,108500.0,107400.0,108400.0,107200.0,108900.0,109600.0,111100.0,112800.0,115600.0,116900.0,116900.0,116100.0,115400.0,115800.0,112900.0,113000.0,112900.0,115300.0,117100.0,117700.0,119400.0,119400.0,119700.0,119600.0,116800.0,116500.0,116000.0,120000.0,121000.0,123600.0,123400.0,123200.0,122100.0,121800.0,122100.0,123500.0,124300.0,125400.0,126400.0,126900.0,127200.0,127200.0,126500.0,126400,125300,126700,127700,129500,130700,131900,133300,135900,136200,135500,133100,132100,132100,132300,132800,133700,134300,135900,137200,139600,141300,141200,141100,140300,141300,140600,140600,140900,142300,145200,146900,152000,
7,30,Michigan,8,97800.0,94800.0,90200.0,85800.0,85400.0,85100.0,84500.0,81500.0,75100.0,70100.0,63700.0,61000.0,57300.0,55300.0,54600.0,54200.0,57900.0,61500.0,65700.0,67800.0,69700.0,73000.0,73500.0,73000.0,70200.0,70300.0,71300.0,71900.0,70700.0,67700.0,65700.0,64600.0,63700.0,64500.0,65800.0,66400.0,64800.0,62100.0,61300.0,62000.0,64500.0,67200.0,68200.0,67400.0,59900.0,61400.0,62200.0,68300.0,65700.0,66600.0,68900.0,71700.0,73000.0,75800.0,77300.0,77300.0,65100.0,65800.0,67500.0,81200.0,83400.0,85500.0,87400.0,89100.0,93900.0,97900.0,101300.0,100300.0,86400.0,84900.0,84700.0,97700.0,97300.0,98600.0,101000.0,105800.0,109700.0,112000.0,114100.0,113400.0,98400.0,93200.0,95700.0,110700.0,116000.0,116700.0,119400.0,121400.0,122600.0,122800.0,122800.0,120500.0,109300.0,109100.0,112100.0,125500.0,127700.0,128300.0,128000.0,127500.0,127900.0,128700.0,129600.0,132400.0,133400.0,135400.0,134900.0,137000.0,136300.0,137100.0,135100.0,135800,135200,136400,137100,139500,141300,143200,143900,146100,147400,147300,145400,143600,143700,144400,144900,144200,143900,144600,146900,152100,155200,156200,153300,151200,151600,152700,153700,154300,155200,157700,160400,170100,
8,16,Georgia,9,143200.0,139100.0,135300.0,133300.0,132300.0,134000.0,132900.0,132200.0,127800.0,123700.0,122000.0,121600.0,121000.0,117900.0,115000.0,114900.0,117300.0,120800.0,124000.0,126000.0,127800.0,128000.0,127000.0,123100.0,119500.0,117100.0,116900.0,116400.0,114700.0,113100.0,113600.0,115100.0,115700.0,114600.0,113700.0,109600.0,105900.0,101100.0,98800.0,97300.0,97400.0,97300.0,95800.0,93200.0,93300.0,93500.0,93400.0,92700.0,93400.0,95500.0,96100.0,96600.0,97900.0,100000.0,101800.0,101900.0,104200.0,108200.0,110100.0,112000.0,113300.0,117900.0,120500.0,123000.0,124600.0,126400.0,125900.0,126400.0,125900.0,127400.0,126500.0,128000.0,127200.0,129300.0,131500.0,134900.0,137300.0,138100.0,137800.0,138400.0,139100.0,142500.0,141700.0,143900.0,143900.0,151700.0,152800.0,154400.0,150800.0,151900.0,152800.0,153400.0,153800.0,153700.0,154400.0,154400.0,155400.0,155900.0,156700.0,156000.0,156800.0,156800.0,158100.0,158600.0,161600.0,161600.0,162600.0,161500.0,164500.0,165000.0,166300.0,165900,166800,166800,168500,170500,173000,174200,174800,177800,178700,180900,179500,180300,179800,179100,181500,182900,186700,186700,188900,190500,191900,192700,194200,195600,197600,197800,199800,199600,202700,204900,208100,212500,
9,36,North Carolina,10,154400.0,151500.0,147500.0,145900.0,146300.0,145600.0,144700.0,145400.0,142900.0,141900.0,140900.0,146300.0,147900.0,145900.0,142200.0,140900.0,143200.0,144100.0,145100.0,145700.0,146700.0,146400.0,149000.0,149100.0,149300.0,145000.0,143000.0,142400.0,142900.0,142500.0,142900.0,143100.0,144300.0,145300.0,145000.0,144600.0,142000.0,140000.0,138000.0,137700.0,137800.0,138700.0,137600.0,137900.0,137700.0,139800.0,140900.0,141900.0,142300.0,141500.0,141100.0,141100.0,142000.0,142400.0,141400.0,141900.0,142300.0,145400.0,145900.0,146600.0,145500.0,146200.0,146600.0,147200.0,147900.0,148100.0,148300.0,148400.0,148300.0,149800.0,150300.0,150800.0,149300.0,148000.0,148900.0,149200.0,150800.0,151000.0,152700.0,153200.0,153400.0,154200.0,157700.0,162400.0,163900.0,163200.0,162900.0,163300.0,163700.0,162500.0,162700.0,162600.0,162800.0,163400.0,166100.0,166600.0,166000.0,164400.0,164900.0,166600.0,167100.0,168800.0,169300.0,171200.0,171500.0,171600.0,171600.0,171600.0,173400.0,173000.0,172500.0,172500,173800,174600,174300,175000,177300,179200,183200,187200,191200,190400,188600,187100,188000,188600,189700,190700,192100,192500,193700,196100,198400,199800,199600,199700,201100,202100,205200,206200,209900,212700,216100,221900,
