City,Date,No_of_bedrooms,AvgSale_Price
Los-Angeles,1/31/1996,1,110016
Los-Angeles,2/29/1996,1,110090
Los-Angeles,3/31/1996,1,110050
Los-Angeles,4/30/1996,1,109997
Los-Angeles,5/31/1996,1,109891
Los-Angeles,6/30/1996,1,109828
Los-Angeles,7/31/1996,1,109781
Los-Angeles,8/31/1996,1,109544
Los-Angeles,9/30/1996,1,109217
Los-Angeles,10/31/1996,1,108871
Los-Angeles,11/30/1996,1,108699
Los-Angeles,12/31/1996,1,108542
Los-Angeles,1/31/1997,1,108161
Los-Angeles,2/28/1997,1,107610
Los-Angeles,3/31/1997,1,107197
Los-Angeles,4/30/1997,1,107032
Los-Angeles,5/31/1997,1,106967
Los-Angeles,6/30/1997,1,106858
Los-Angeles,7/31/1997,1,106947
Los-Angeles,8/31/1997,1,107350
Los-Angeles,9/30/1997,1,107923
Los-Angeles,10/31/1997,1,108504
Los-Angeles,11/30/1997,1,108954
Los-Angeles,12/31/1997,1,109628
Los-Angeles,1/31/1998,1,110657
Los-Angeles,2/28/1998,1,111907
Los-Angeles,3/31/1998,1,113129
Los-Angeles,4/30/1998,1,114179
Los-Angeles,5/31/1998,1,115318
Los-Angeles,6/30/1998,1,116455
Los-Angeles,7/31/1998,1,117327
Los-Angeles,8/31/1998,1,118433
Los-Angeles,9/30/1998,1,119674
Los-Angeles,10/31/1998,1,121047
Los-Angeles,11/30/1998,1,122276
Los-Angeles,12/31/1998,1,123172
Los-Angeles,1/31/1999,1,124267
Los-Angeles,2/28/1999,1,125496
Los-Angeles,3/31/1999,1,126742
Los-Angeles,4/30/1999,1,127895
Los-Angeles,5/31/1999,1,128958
Los-Angeles,6/30/1999,1,130314
Los-Angeles,7/31/1999,1,131722
Los-Angeles,8/31/1999,1,132559
Los-Angeles,9/30/1999,1,133246
Los-Angeles,10/31/1999,1,134160
Los-Angeles,11/30/1999,1,135480
Los-Angeles,12/31/1999,1,136999
Los-Angeles,1/31/2000,1,138249
Los-Angeles,2/29/2000,1,139454
Los-Angeles,3/31/2000,1,140765
Los-Angeles,4/30/2000,1,142247
Los-Angeles,5/31/2000,1,143838
Los-Angeles,6/30/2000,1,145354
Los-Angeles,7/31/2000,1,146929
Los-Angeles,8/31/2000,1,148783
Los-Angeles,9/30/2000,1,150633
Los-Angeles,10/31/2000,1,152259
Los-Angeles,11/30/2000,1,153773
Los-Angeles,12/31/2000,1,155380
Los-Angeles,1/31/2001,1,157023
Los-Angeles,2/28/2001,1,158728
Los-Angeles,3/31/2001,1,160418
Los-Angeles,4/30/2001,1,162355
Los-Angeles,5/31/2001,1,164194
Los-Angeles,6/30/2001,1,166037
Los-Angeles,7/31/2001,1,167673
Los-Angeles,8/31/2001,1,169352
Los-Angeles,9/30/2001,1,171052
Los-Angeles,10/31/2001,1,173082
Los-Angeles,11/30/2001,1,175040
Los-Angeles,12/31/2001,1,177055
Los-Angeles,1/31/2002,1,179089
Los-Angeles,2/28/2002,1,181339
Los-Angeles,3/31/2002,1,183683
Los-Angeles,4/30/2002,1,186147
Los-Angeles,5/31/2002,1,188559
Los-Angeles,6/30/2002,1,191340
Los-Angeles,7/31/2002,1,194534
Los-Angeles,8/31/2002,1,197957
Los-Angeles,9/30/2002,1,201391
Los-Angeles,10/31/2002,1,204871
Los-Angeles,11/30/2002,1,208718
Los-Angeles,12/31/2002,1,212600
Los-Angeles,1/31/2003,1,216076
Los-Angeles,2/28/2003,1,219250
Los-Angeles,3/31/2003,1,222452
Los-Angeles,4/30/2003,1,225595
Los-Angeles,5/31/2003,1,228897
Los-Angeles,6/30/2003,1,231811
Los-Angeles,7/31/2003,1,235489
Los-Angeles,8/31/2003,1,239691
Los-Angeles,9/30/2003,1,244386
Los-Angeles,10/31/2003,1,248628
Los-Angeles,11/30/2003,1,253500
Los-Angeles,12/31/2003,1,258463
Los-Angeles,1/31/2004,1,264534
Los-Angeles,2/29/2004,1,270613
Los-Angeles,3/31/2004,1,277152
Los-Angeles,4/30/2004,1,284193
Los-Angeles,5/31/2004,1,292404
Los-Angeles,6/30/2004,1,300842
Los-Angeles,7/31/2004,1,308243
Los-Angeles,8/31/2004,1,314302
Los-Angeles,9/30/2004,1,320375
Los-Angeles,10/31/2004,1,326410
Los-Angeles,11/30/2004,1,331519
Los-Angeles,12/31/2004,1,336507
Los-Angeles,1/31/2005,1,341075
Los-Angeles,2/28/2005,1,346569
Los-Angeles,3/31/2005,1,351928
Los-Angeles,4/30/2005,1,357106
Los-Angeles,5/31/2005,1,361220
Los-Angeles,6/30/2005,1,365298
Los-Angeles,7/31/2005,1,370506
Los-Angeles,8/31/2005,1,376262
Los-Angeles,9/30/2005,1,382371
Los-Angeles,10/31/2005,1,388302
Los-Angeles,11/30/2005,1,393108
Los-Angeles,12/31/2005,1,397637
Los-Angeles,1/31/2006,1,401314
